id;year;TC;Y1;Y2;W1;W2;W3;ER;LA;TA;ZSCORE;ZSCORE3;SDROA;LLP;lnzscore;lnzscore3;lnsdroa;scope;ms_county
152440;2007;4659.505;8661.84;58393.04;38.55422;37.75;4.146092;0.111778872;0.778161126;75039.78037;29.49198;11.93898;0.4532092;732.4903908;3.384118362;2.479808677;-0.79140145;0.480179198;0.346665182
544335;2007;10848.96;19492.91;146789;30.66785;45.13934;2.263886;0.113912073;0.767930042;191148.9224;62.97659;20.66493;0.2298561;305.9889165;4.14276307;3.028438061;-1.470301818;0.525494717;0.883060633
548203;2007;14523.65;18630.49;219705.7;27.38797;56.02857;4.312672;0.134298362;0.88800101;247416.0473;38.99969;30.88642;0.3874364;1534.652104;3.663553697;3.430316605;-0.948203573;0.889717694;1.143000801
568238;2007;1644.808;11902.5;18675.68;32.84768;50.47368;1.541316;0.102989099;0.505041234;36978.52518;30.68124;24.53655;0.4063778;0;3.423651393;3.200163843;-0.90047201;0.391769213;0.170831619
651158;2007;3054.24;29322.21;38916.14;42.20033;52.23529;3.192056;0.142100362;0.526400229;73928.80523;30.02672;28.42257;0.5496323;0;3.402087652;3.347183548;-0.59850577;0.5523984;0.341532752
705444;2007;6168.736;36568.03;67179.16;11.95771;41.46667;3.181241;0.144987987;0.522227586;128639.6235;110.6765;37.66002;0.1502981;0;4.706611532;3.628599054;-1.895134624;0.407301199;0.594283169
796451;2007;18459.13;124751.2;213962.5;13.6474;32.32076;4.188042;0.082377613;0.55500304;385515.9066;37.82984;10.468;0.2466348;9.415043584;3.633098209;2.348322985;-1.399846579;0.502827686;1.780987914
906559;2007;12705.6;30933.13;137013.4;7.285194;61.55882;3.678505;0.087365937;0.709329494;193159.0342;18.88566;8.780222;0.5266634;1740.841559;2.938402904;2.172501692;-0.641193644;0.62356529;0.892346852
2804882;2007;6033.16;83123.54;32367.04;11.06429;52.525;2.604038;0.064969537;0.24528035;131959.3679;35.88356;25.62312;0.2637309;121.4540622;3.580279252;3.243495069;-1.332826014;0.90136249;0.609619565
38526;2007;10956.29;111829.1;156298.2;76.47963;39.87778;2.79609;0.128257225;0.549169519;284608.294;135.0909;34.40693;0.1142965;23.53760896;4.905947885;3.538257998;-2.16895933;0.607604239;0.019291948
73116;2007;28803.44;98578.33;408299.4;8.823529;65.83803;3.59999;0.101966023;0.732034968;557759.4214;37.46301;28.48321;0.3289286;955.6269237;3.623354046;3.349314791;-1.111914573;0.849451012;0.037807281
